sector,fund_count
Hotel & Resort Reits,2
Industrial Reits,2
Insurance Brokers,2
Leisure Products,2
"Metal, Glass & Plastic Containers",2
Multi-Family Residential Reits,2
Multi-Utilities,2
Office Reits,2
Oil & Gas Refining & Marketing,2
Oil & Gas Storage & Transportation,2
Other Specialized Reits,2
Paper & Plastic Packaging Products & Materials,2
Publishing,2
Real Estate Services,2
Regional Banks,2
Reinsurance,2
Self Storage Reits,2
Silver,2
Single-Family Residential Reits,2
Technology Distributors,2
Telecom Tower Reits,2
Timber Reits,2
Unrated,2
Water Utilities,2
Aluminum,1
Automobiles & Components,1
Capital Goods,1
Coal & Consumable Fuels,1
Construction Machinery & Heavy Transport Eq,1
Diversified Metals & Mining,1
Education Services,1
Home Appliances,1
Other Bank,1
Real Estate Development,1
Real Estate Operating Companies,1
Technology Hardware & Equipment,1
