instrument_name,industry,total_percentage,fund_count
"EQ - BHARAT ELECTRONICS LTD.","Aerospace & Defense",11.8633,3
"Le Travenues Technology Ltd","Leisure Services",11.7871,4
"Indian Railway Catering and Tourism Corporation Ltd.","Leisure Services",11.7777,3
"EQ - AUROBINDO PHARMA LTD.","Pharmaceuticals & Biotechnology",11.7625,5
"MOTILAL OSWAL FINANCIAL SERVICE LTD","Capital Markets",11.7174,3
"EQ - BHARAT PETROLEUM CORPN LTD.","Petroleum Products",11.6491,4
"KSH International Ltd.","Industrial Products",11.5632,4
"PI Industries Ltd.","Fertilizers & Agrochemicals",11.4328,4
"Corona Remedies Ltd.","Pharmaceuticals & Biotechnology",11.3288,5
"EQ - JSW STEEL LTD.","Ferrous Metals",11.3267,4
"Kusumgar Ltd.","Textiles & Apparels",11.2397,4
"Bandhan Bank Limited","Banks",11.1648,4
"KRISHNA INSTITUTE OF MEDICAL","Healthcare Services",11.1625,4
"Titan Co Ltd","Consumer Durables",11.0788,4
"HEG Limited","Industrial Products",11.0315,4
"Patanjali Foods Ltd.","Agricultural Food & Other Products",10.9908,3
"Timken India Limited","Industrial Products",10.9635,4
"Marksans Pharma Ltd","Pharmaceuticals & Biotechnology",10.9414,4
"Samhi Hotels Ltd.","Leisure Services",10.9351,4
"Phoenix Mills Limited","Realty",10.8884,3
"SML Mahindra Ltd.","Agricultural, Commercial & Construction Vehicles",10.8741,4
"BILLIONBRAINS GARAGE VENTURES LIMITED (GROWW)","Capital Markets",10.7272,4
"IRB Infrastructure Developers Ltd.","Construction",10.7128,3
"United Breweries Ltd.","Beverages",10.6809,4
"SBI Cards & Payment Services Ltd.","Finance",10.596,3
"Narayana Hrudayalaya Limited","Healthcare Services",10.5868,4
"HEALTHCARE GLOBAL ENTERPRISES LTD","Healthcare Services",10.5114,2
"Hatsun Agro Product Ltd.","Food Products",10.4688,3
"HDB Financial Services Limited","Finance",10.3759,4
"Triveni Turbine Limited","Electrical Equipment",10.3595,4
"General Insurance Corporation of India","Insurance",10.335,4
"EQ - TATA STEEL LTD.","Ferrous Metals",10.3326,3
"EQ - LAURUS LABS LTD.","Pharmaceuticals & Biotechnology",10.317,2
"Sagility Ltd.","It - Services",10.2291,4
"Deepak Fertilizers and Petrochemicals Corporation Ltd.","Chemicals & Petrochemicals",10.1851,2
"Gujarat Themis Biosyn Ltd","Pharmaceuticals & Biotechnology",10.1728,2
"Alivus Life Sciences","Pharmaceuticals & Biotechnology",10.1611,2
"EQ - COLGATE PALMOLIVE INDIA LTD.","Personal Products",10.1498,3
"Black Box Limited","It - Services",10.1178,2
"Cemindia Projects Ltd","Construction",10.1174,3
"IDBI Bank Limited","Banks",10.0008,1
"3M India Ltd.","Diversified",9.9245,4
"Dredging Corporation of India Limited","Engineering Services",9.861,2
"Adani Power (Mundra) Limited","Power",9.8582,3
"BLUE STAR LTD","Consumer Durables",9.8434,4
"Cohance Lifesciences Limited","Pharmaceuticals & Biotechnology",9.8251,3
"EQ - SBI LIFE INSURANCE COMPANY LTD","Insurance",9.7871,3
"Shipping Corporation Of India Limited","Transport Services",9.7677,1
"Inox India Limited","Industrial Products",9.7264,4
"Nuvoco Vistas Corporation Ltd","Cement & Cement Products",9.6969,4
"Ramkrishna Forgings Limited","Auto Components",9.6365,3
"Aditya Birla Real Estate Limited","Realty",9.5027,3
"VIJAYA DIAGNOSTIC CENTRE PVT","Healthcare Services",9.4949,3
"NCC Ltd.","Construction",9.4849,3
"Sanathan Textiles Limited","Textiles & Apparels",9.4803,3
"Rategain Travel Technologies Ltd.","It - Software",9.4761,3
"EQ - ADANI PORTS AND SPECIAL ECONO","Transport Infrastructure",9.4728,2
"Kirloskar Brothers Limited","Industrial Products",9.3879,3
"Lohia Corp Limited","Industrial Manufacturing",9.3778,2
"Paradeep Phosphates Ltd.","Fertilizers & Agrochemicals",9.3703,4
"Sona Blw Precision Forgings","Auto Components",9.363,2
"EQ - VEDANTA LTD","Diversified Metals",9.3459,2
"IIFL Finance Limited","Finance",9.2623,4
"PARK MEDI WORLD LIMITED (PARK HOSPITAL)","Healthcare Services",9.2313,3
"Fractal Analytics Ltd","It - Software",9.213,4
"Thyrocare Technologies Ltd.","Healthcare Services",9.1793,4
"EQ - CHOLAMANDALAM INVESTMENT & FIN","Finance",9.1472,3
"EQ - HAVELLS INDIA LTD.","Consumer Durables",9.1262,3
"Deepak Nitrite Limited","Chemicals & Petrochemicals",9.1154,3
"The Tata Power Company Limited","Power",9.11,4
"EID Parry India Limited","Food Products",9.0607,4
"EQ - INTERGLOBE AVIATION LTD","Transport Services",9.0583,3
"EQ - POWER GRID CORPORATION OF INDI","Power",9.0065,3
"AstraZeneca Pharma India Limited","Pharmaceuticals & Biotechnology",8.9104,3
"Leela Palaces Hotels & Resorts Limited","Leisure Services",8.8708,4
"Mastek Ltd.","It - Software",8.8381,3
"Home First Finance Company India Limited","Finance",8.7937,4
"Ador Welding Limited","Industrial Products",8.7742,1
"The South Indian Bank Limited","Banks",8.7657,3
"Adani Port & Special Economic Zone Ltd","Transport Infrastructure",8.6901,3
"Indraprastha Gas Ltd.","Gas",8.6798,2
"Elgi Equipments Limited","Industrial Products",8.6585,4
"Supreme Industries Limited","Industrial Products",8.6437,3
"Cyient DLM Ltd.","Aerospace & Defense",8.6416,3
"EQ - ONE 97 COMMUNICATIONS LTD","Financial Technology (fintech)",8.6396,2
"EQ - LUPIN LTD.","Pharmaceuticals & Biotechnology",8.571,3
"Stylam Industries Limited","Consumer Durables",8.5517,4
"Go Digit General Insurance Limited","Insurance",8.5392,4
"EQ - IDFC FIRST BANK LTD","Banks",8.5009,2
"Jindal Saw Ltd","Industrial Products",8.4447,3
"NTPC Green Energy Limited","Power",8.4342,3
"Granules India Limited","Pharmaceuticals & Biotechnology",8.4046,3
"PTC India Limited","Power",8.3833,1
"EQ - OIL & NATURAL GAS CORPORATION","Oil",8.3208,2
"Lalithaa Jewellery Mart Ltd","Consumer Durables",8.2682,3
"Adani Ports & Special Economic Zone Ltd.","Transport Infrastructure",8.2303,2
"Syngene International Limited","Healthcare Services",8.2158,3
"EQ - ORACLE FINANCIAL SERVICES SOFT","It - Software",8.1211,3
"EQ - BOSCH LTD.","Auto Components",8.098,2
"EQ - SHREE CEMENT LTD.","Cement & Cement Products",8.0883,2
"C.E. Info Systems Limited","It - Software",8.0691,3
"Nvidia Corp Com","Semiconductors",8.0409,1
"Finolex Cables Ltd","Industrial Products",8.0185,3
"Colgate - Palmolive (India) Ltd.","Personal Products",8.0047,3
"Graphite India Limited","Industrial Products",7.997,3
"Multi Commodity Exchange of India L","Capital Markets",7.8911,2
"PhysicsWallah Limited","Other Consumer Services",7.8849,3
"CEAT Ltd.","Auto Components",7.7852,3
"Emami Limited","Personal Products",7.7498,3
"Yatharth Hospital & Trauma Care Serv Ltd","Healthcare Services",7.7446,3
"Broadcom Inc","Semiconductors",7.7418,3
"EQ - INDIAN OIL CORPORATION LTD.","Petroleum Products",7.6508,3
"LEMON TREE HOTELS LTD","Leisure Services",7.6306,3
"Motilal Oswal Financial Services","Capital Markets",7.6172,3
"The Great Eastern Shipping Company Ltd.","Transport Services",7.6004,2
"Meta Platforms Registered Shares A","Interactive Media & Services",7.5826,2
"EQ - TATA CONSUMER PRODUCTS LTD","Agricultural Food & Other Products",7.5808,3
"EQ - HITACHI ENERGY INDIA LTD","Electrical Equipment",7.5751,3
"Heritage Foods Limited","Food Products",7.563,1
"Allied Blenders And Distillers Ltd.","Beverages",7.5286,3
"EQ - GLAND PHARMA LTD.","Pharmaceuticals & Biotechnology",7.5251,2
"Tips Music Limited","Entertainment",7.518,3
"Jubilant Pharmova Limited","Pharmaceuticals & Biotechnology",7.4992,2
"Samsung Electronics Ltd","Consumer Durables",7.447,1
"Jupiter Life Line Hospitals Ltd.","Healthcare Services",7.4263,3
"DEVYANI INTERNATIONAL LIMITED","Leisure Services",7.4251,3
"Kaynes Technology India Limited","Industrial Manufacturing",7.42,3
"Pricol Ltd.","Auto Components",7.4013,3
"KRN Heat Exchanger And Refrigeration Limited","Industrial Products",7.3959,2
"Arvind Fashions Ltd.","Retailing",7.386,3
"KSB Limited","Industrial Products",7.3819,3
"Safari Industries (India) Limited","Consumer Durables",7.3794,3
"Park Medi World Ltd.","Healthcare Services",7.3711,2
"Ratnamani Metals & Tubes Ltd.","Industrial Products",7.3614,3
"GE Vernova T and D India Ltd","Electrical Equipment",7.3493,3
"Doms Industries Ltd.","Household Products",7.3386,3
"AnandRathi Wealth Ltd.","Capital Markets",7.3354,3
"Wework India Management Limited","Commercial Services & Supplies",7.3248,3
"PVR INOX Limited","Entertainment",7.304,3
"EQ - INDIAN HOTELS COMPANY LTD.","Leisure Services",7.3034,3
"Indigo Paints Limited","Consumer Durables",7.2965,3
"Bombay Stock Exchange Limited (BSE)","Capital Markets",7.2719,2
"CreditAccess Grameen Limited","Finance",7.2693,3
"EQ - HDFC ASSET MANAGEMENT COMPANY","Capital Markets",7.2624,3
"EQ - PHOENIX MILLS LTD","Realty",7.2348,2
"EIH Ltd.","Leisure Services",7.2091,3
"V.S.T Tillers Tractors Ltd","Agricultural, Commercial And Constr",7.2056,3
"Jain Resource Recycling Limited","Diversified Metals",7.1676,3
"EQ - WIPRO LIMITED","It - Software",7.1591,2
"EQ - KEI INDUSTRIES LTD.","Industrial Products",7.1431,2
"Kajaria Ceramics Ltd","Consumer Durables",7.1428,3
"JSW Cement Ltd.","Cement & Cement Products",7.1042,3
"EQ - SUZLON ENERGY LTD.","Electrical Equipment",7.077,3
"Dalmia Bharat Limited","Cement & Cement Products",7.0751,3
"Gujarat Themis Biosyn Ltd -QIP","Pharmaceuticals & Biotechnology",7.0656,1
"Birlasoft Ltd.","It - Software",7.0286,3
"Powerica Ltd.","Electrical Equipment",6.9983,3
"Aditya Vision Ltd","Retailing",6.9653,3
"Five Star Business Finance Ltd","Finance",6.9635,3
"Bayer Cropscience Limited","Fertilizers & Agrochemicals",6.9627,2
"Carborundum Universal Ltd.","Industrial Products",6.9213,3
"MediaTek Incorporation","Semiconductors",6.9211,1
"Aptus Value Housing Finance India Ltd.","Finance",6.8971,3
"Ethos Ltd.","Consumer Durables",6.8793,3
"TML COMMERCIAL VEHICLES LIMITED","Agricultural, Commercial And Constr",6.8677,2
"EQ - GE VERNOVA T & D INDIA LTD","Electrical Equipment",6.8612,2
"Shivalik Bimetal Controls Ltd.","Industrial Products",6.8525,3
"EQ - HYUNDAI MOTOR INDIA LTD","Automobiles",6.8388,2
"Epam Systems Inc","It - Services",6.8209,2
"West Coast Paper Mills Ltd.","Paper, Forest & Jute Products",6.8155,2
"V-Mart Retail Ltd.","Retailing",6.7868,3
"Tata Chemicals Ltd","Chemicals & Petrochemicals",6.7392,2
"SMS Pharmaceuticals Limited","Pharmaceuticals & Biotechnology",6.7089,1
"EQ - ACUTAAS CHEMICALS LIMITED","Pharmaceuticals & Biotechnology",6.6769,2
"FSN E–Commerce Ventures Ltd(NYKAA)","Retailing",6.6251,2
"Cognizant Technology Solutions Corporation","It - Software",6.6136,2
"Indian Railway Catering And Tourism Corporation Lt","Leisure Services",6.6088,1
"EQ - TATA POWER COMPANY LTD.","Power",6.5637,3
"Alivus Life Sciences Limited","Pharmaceuticals & Biotechnology",6.5581,2
"EQ - TATA MOTORS PASSENGER VEHICLES LTD.","Automobiles",6.5525,2
"Shree Cements Ltd.","Cement & Cement Products",6.5477,2
"Visa Inc","It - Software",6.5077,2
"TVS Holdings Ltd.","Finance",6.4662,3
"Restaurant Brands Asia Limited","Leisure Services",6.4146,2
"RITES LIMITED","Construction",6.3926,2
"Mediatek Inc","It - Hardware",6.3862,2
"ELI LILLY & CO","Pharmaceuticals",6.3441,1
"EQ - DR REDDYS LABORATORIES LTD.","Pharmaceuticals & Biotechnology",6.3317,2
"EQ - TRENT LIMITED","Retailing",6.2541,2
"Minda Corporation Ltd.","Auto Components",6.2438,2
"Bluestone Jewellery And Lifestyle Limited","Consumer Durables",6.2429,2
"Fsn Ecommerce Ventures Limited (Nykaa)","Retailing",6.2108,2
"Ravindra Energy Limited","Electrical Equipment",6.1839,1
"EQ - BHARAT FORGE LTD.","Auto Components",6.179,2
"Barbeque Nation Hospitality Ltd.","Leisure Services",6.1486,2
"Jindal Steel & Power Ltd","Ferrous Metals",6.1382,2
"Digitide Solutions Limited","It - Services",6.1315,1
"Cholamandalam Investment & Finance Company Ltd.","Finance",6.1178,2
"Mpi Corporation","Semiconductor Materials & Equipment",6.0357,1
"EQ - YES BANK LTD.","Banks",6.0219,2
"Atul Ltd.","Chemicals & Petrochemicals",6.0192,2
"Castrol India Limited","Petroleum Products",6.0168,2
"Krishna Inst of Medical Sciences Ltd.","Healthcare Services",6.0069,2
"GODREJ INDUSTRIES LTD","Diversified",6.0013,2
"Nanya Technology Corporation","Semiconductors",5.9885,1
"Milky Mist Dairy Food Limited","Food Products",5.97,2
"Afcons Infrastructure Ltd.","Construction",5.9605,2
"Tata Elxsi Limited","It - Software",5.9447,2
"EQ - UJJIVAN SMALL FINANCE BANK LTD","Banks",5.9198,2
"Netweb Technologies India Limited","It - Services",5.9168,2
"Rural Electrification Corporation Ltd.","Finance",5.9056,2
"CESC Ltd.","Power",5.8737,2
"Gokaldas Exports Limited","Textiles & Apparels",5.8347,2
"ORACLE FINANCIALS SERVICES SOFT LTD","It - Software",5.8306,2
"Iqvia Holdings","Life Sciences Tools & Services",5.7781,1
"Maharashtra Scooters Limited","Finance",5.7566,1
"Cognizant Technology Solutions Corp., A","It - Services",5.7562,1
"V2 Retail Limited","Retailing",5.752,2
"Intellect Design Arena Limited","It - Software",5.7306,2
"Saregama India Ltd.","Entertainment",5.7259,2
"EQ - FSN E-COMMERCE VENTURES(NYKAA)","Retailing",5.6498,1
"MIDWEST LTD","Consumer Durables",5.6308,2
"The Karnataka Bank Limited","Banks",5.6292,2
"TEGA INDUSTRIES LTD","Industrial Manufacturing",5.6287,2
"Engineers India Ltd","Construction",5.6091,2
"Gujarat Energy Ltd.","Gas",5.5924,1
"MAHINDRA AND MAHINDRA FINANCIAL SERVICES LTD","Finance",5.5745,2
"EQ - DLF LTD.","Realty",5.556,1
"Power Mech Projects Ltd.","Construction",5.5321,2
"Chroma Ate","Electronic Equipment & Instruments",5.5048,1
"Escorts Kubota Limited","Agricultural, Commercial & Construction Vehicles",5.4975,2
"Can Fin Homes Limited","Finance",5.4949,2
"Sundram Fasteners Ltd","Auto Components",5.4873,2
"Aarti Industries Limited","Chemicals & Petrochemicals",5.4741,2
"EQ - AFFLE 3I LIMITED","It - Services",5.4689,1
"Motherson Sumi Wiring India Limited","Auto Components",5.4457,2
"Globus Medical Inc","Healthcare Equipment & Supplies",5.4435,1
"ICICI Prudential Asset Mgmt Co Ltd.","Capital Markets",5.4363,1
"PVR LTD.","Entertainment",5.4239,2
"Lumino Industries Limited","Industrial Products",5.4117,1
"MACROTECH DEVELOPERS LTD","Realty",5.4053,1
"EQ - LODHA DEVELOPERSLIMITED","Realty",5.3937,1
"Mahindra & Mahindra Financial Serv Ltd.","Finance",5.3884,2
"EQ - HINDUSTAN ZINC LTD.","Non - Ferrous Metals",5.3731,2
"AEGIS LOGISTICS LTD","Gas",5.3675,2
"EQ - CANARA BANK","Banks",5.3491,2
"Alembic Pharmaceuticals Limited","Pharmaceuticals & Biotechnology",5.3393,2
"EQ - MPHASIS LTD","It - Software",5.3202,2
"STEEL AUTHORITY INDIA LTD","Ferrous Metals",5.2972,2
"Aequs Limited","Aerospace & Defense",5.2745,2
"Charles Schwab Corp","Investment Banking & Brokerage",5.2634,1
"SKF India (Industrial) Limited","Industrial Products",5.2551,2
"SK Hynix Inc","It - Hardware",5.2025,1
"THE RAMCO CEMENTS LTD","Cement & Cement Products",5.1772,2
"EQ - LG ELECTRONICS INDIA LTD","Consumer Durables",5.1381,2
"Sundaram Finance Limited","Finance",5.1185,2
"63 moons technologies limited","It - Software",5.0983,1
"Dr.Reddy's Laboratories Ltd.","Pharmaceuticals & Biotechnology",5.0751,2
"Jana Small Finance Bank Ltd","Banks",5.0735,2
"Oracle Financial Services Software","It - Software",5.0607,2
"Karnataka Bank Ltd","Banks",5.0559,2
"Central Depository Services (I) Ltd.","Capital Markets",5.043,2
"Artemis Medicare Services Limited","Healthcare Services",5.0326,2
"EQ - SOLAR INDUSTRIES INDIA LTD.","Chemicals & Petrochemicals",5.0283,2
"Aavas Financiers Ltd","Finance",4.9887,2
"Recruit Holdings Co Ltd","Human Resource & Employment Services",4.9678,1
"SBFC Finance Limited","Finance",4.95,2
"Mrs Bectors Food Specialities Limited","Food Products",4.9264,2
"APPLIED MATLS INC COM","Semiconductor Materials & Equipment",4.924,1
"Minda Industries Ltd.","Auto Components",4.9053,2
"Procter & Gamble Health Limited","Pharmaceuticals & Biotechnology",4.9012,2
"BIKAJI FOODS INTERNATIONAL LIMITED","Food Products",4.9003,2
"Divgi Torqtransfer Systems Ltd","Auto Components",4.8936,2
"EQ- GLOBAL HEALTH LTD.","Healthcare Services",4.8748,2
"EQ - PAGE INDUSTRIES","Textiles & Apparels",4.8698,2
"EQ - HDFC LIFE INSURANCE COMPANY LI","Insurance",4.861,2
"SUDARSHAN CHEMICAL INDUSTRIES LTD","Chemicals & Petrochemicals",4.8257,1
"RR Kabel Ltd.","Industrial Products",4.8189,2
"The Jammu & Kashmir Bank Limited","Banks",4.7684,2
"Niva Bupa Health Insurance Company Limited","Insurance",4.7629,2
"Micron Technology Inc","Semiconductors",4.7595,1
"Apollo Tyres Ltd.","Auto Components",4.7207,2
"Kennametal India Limited","Industrial Manufacturing",4.72,2
"LASER POWER & INFRA LTD","Industrial Products",4.6999,2
"Garware Technical Fibres Limited","Textiles & Apparels",4.6895,2
"Indo Count Industries Limited","Textiles & Apparels",4.6797,2
"Vardhman Textiles Limited","Textiles & Apparels",4.6343,2
"EQ - APL APOLLO TUBES LTD","Industrial Products",4.6127,2
"Booking Holdings Inc","Hotels, Resorts & Cruise Lines",4.602,1
"KIRLOSKAR PNEUMATIC COMPANY LTD","Industrial Products",4.5843,1
"Sun TV Network Limited","Entertainment",4.5837,2
"Amara Raja Batteries Ltd","Auto Components",4.5683,2
"MOLBIO DIAGNOSTICS LIMITED","Healthcare Services",4.528,1
"P N Gadgil Jewellers Limited","Consumer Durables",4.5106,1
"Canara Robeco Asset Mgmt Co Ltd.","Capital Markets",4.5087,2
"ICICI Lombard General Insurance Co Limited","Insurance",4.4926,2
"EQ - RATEGAIN TRAVEL TECHNOLOGIES LTD","It - Software",4.4869,1
"Dabur India Ltd.","Personal Products",4.4589,2
"Amazon com","Internet & Direct Marketing Retail",4.4559,1
"Mahindra Lifespace Developers Ltd.","Realty",4.4451,2
"BASF INDIA LTD","Chemicals & Petrochemicals",4.4245,2
"Ircon International Limited","Construction",4.4165,1
"Turtlemint Fintech Solutions Ltd.","Financial Technology (fintech)",4.3972,2
"JOHNSON & JOHNSON","Pharmaceuticals",4.3717,1
"EQ - VARUN BEVERAGES LTD","Beverages",4.3114,2
"Atlanta Electricals Ltd.","Electrical Equipment",4.2854,1
"Senores Pharmaceuticals Limited","Pharmaceuticals & Biotechnology",4.2526,2
"Action Construction Equipment Limited","Agricultural, Commercial & Construction Vehicles",4.2394,2
"EQ - NMDC LTD.","Minerals & Mining",4.2368,2
"EQ - VOLTAS LTD.","Consumer Durables",4.2248,1
"Akums Drugs And Pharmaceuticals Ltd","Pharmaceuticals & Biotechnology",4.2162,2
"Centum Electronics Limited","Aerospace & Defense",4.1934,2
"EQ - PRESTIGE ESTATES PROJECTS LTD","Realty",4.1872,1
"Shyam Metalics and Energy Ltd.","Industrial Products",4.149,2
"DEE DEVELOPMENT ENGINEERS LTD","Industrial Manufacturing",4.1382,2
"Freeport-McMoRan Inc","Non - Ferrous Metals",4.1162,1
"Travel Food Services Ltd","Leisure Services",4.0977,2
"Canara HSBC Life Insurance Co Limited","Insurance",4.0413,1
"DAM Capital Advisors Ltd.","Capital Markets",4.024,1
"GNG Electronics Limited","It - Hardware",4.0086,2
"EQ - GODREJ PROPERTIES LTD.","Realty",3.9811,1
"Kansai Nerolac Paints Limited","Consumer Durables",3.9712,1
"Net web Technologies India Limited","It - Services",3.9665,1
"Tilaknagar Industries Limited","Beverages",3.9429,1
"EQ - AMBUJA CEMENTS LTD.","Cement & Cement Products",3.9428,1
"Elite Material Co Ltd","Electronic Components",3.9272,1
"EQ - PROCTOR & GAMBLE HEALTH LTD","Pharmaceuticals & Biotechnology",3.9252,1
"TSF INVESTMENTS LIMITED","Finance",3.8554,1
"Delta Electronics Inc","Electronic Components",3.8325,1
"Renew Energy Global","Power",3.8116,1
"Nippon Yusen Kabushiki Kaisha","Marine Transportation",3.7805,1
"Accton Technology Corporation","Communications Equipment",3.7711,1
"GPT Infraprojects Limited","Construction",3.655,1
"EQ - BHARAT HEAVY ELECTRICALS LTD.","Electrical Equipment",3.6516,1
"GKW Ltd.","Finance",3.6497,1
"EQ - SUPREME INDUSTRIES LTD.","Industrial Products",3.6495,1
"Amphenol Corp","Industrial Manufacturing",3.6397,1
"ICICI Prudential Life Insurance Company","Insurance",3.6318,1
"OIL & NATURAL GAS CO.","Oil",3.6189,1
"Colgate- Palmolive (India) Ltd.","Personal Products",3.5636,1
"Savita Oil Technologies Ltd.","Petroleum Products",3.5302,1
"WinWay Technology Co. Ltd","Semiconductor Materials & Equipment",3.5191,1
"Kao Corporation","Personal Care Products",3.5157,1
"Yageo Corporation","Electronic Components",3.506,1
"Bridgestone Corp","Tires & Rubber",3.5038,1
"EQ - GRAVITA INDIA LTD.","Minerals & Mining",3.4844,1
"E.I.D-Parry (India) Ltd.","Food Products",3.4829,1
"Cognizant Tech Solutions","It Consulting & Other Services",3.4818,1
"EQ - BANK OF BARODA","Banks",3.4748,1
"Fedbank Financial Ser Ltd","Finance",3.4654,1
"CARE Ratings Limited","Capital Markets",3.4442,1
"EQ - ADANI ENTERPRISES LTD.","Metals & Minerals Trading",3.4043,1
"Nomura Holdings Inc","Investment Banking & Brokerage",3.3967,1
"EQ - CIPLA LTD.","Pharmaceuticals & Biotechnology",3.3919,1
"EQ - OBEROI REALTY LIMITED","Realty",3.3883,1
"VENUS PIPES & TUBES LTD","Industrial Products",3.3872,1
"Aspeed Technology Inc","Semiconductors",3.382,1
"Advanced Micro Devices Inc","Semiconductors",3.3789,1
"AVANTI FEEDS LTD","Food Products",3.3723,1
"EQ - PUNJAB NATIONAL BANK","Banks",3.3716,1
"Hitachi Ltd","Industrial Conglomerates",3.3623,1
"EQ - J.K.CEMENT LTD","Cement & Cement Products",3.3508,1
"Mitsubishi UFJ Financial Group Inc","Diversified Banks",3.3476,1
"Itochu Corporation","Trading Companies & Distributors",3.3317,1
"Terumo Corp","Health Care Equipment",3.3287,1
"Asia Vital Components Co Ltd","Technology Hardware, Storage & Peripherals",3.3223,1
"Supriya Lifescience Ltd","Pharmaceuticals & Biotechnology",3.2878,1
"EQ - NAZARA TECHNOLOGIES LTD","Entertainment",3.2877,1
"EQ - ALKEM LABORATORIES LTD","Pharmaceuticals & Biotechnology",3.2858,1
"Bansal Wire Industries Limited","Industrial Products",3.2707,1
"Keyence Corp","Electronic Equipment & Instruments",3.2596,1
"Toyota Motor Corp","Automobile Manufacturers",3.2559,1
"One Source Specialty Pharma Ltd","Pharmaceuticals & Biotechnology",3.2498,1
"YATHARTH HOSPITAL AND TRAUMA CARE SERVICES LTD","Healthcare Services",3.2496,1
"Gold Circuit Electronics Ltd","Electronic Components",3.2441,1
"Manorama Industries Ltd.","Food Products",3.2393,1
"Unimicron Technology Corp","Electronic Components",3.2352,1
"Amara Raja Energy And Mobility Limited","Auto Components",3.2124,1
"Mitsubishi Chemical","Diversified Chemicals",3.2095,1
"Cupid Ltd.","Personal Products",3.1972,1
"TIMEX GROUP INDIA LIMITED","Consumer Durables",3.1964,1
"Ingersoll Rand (India) Limited","Industrial Products",3.1873,1
"COGNIZANT TECHNOLOGY SOLUTIONS","It - Software",3.1838,1
"EQ - UNION BANK OF INDIA","Banks",3.1672,1
"Daiwa House Industry","Diversified Real Estate Activities",3.1632,1
"Gujarat Ambuja Exports Limited","Agricultural Food & Other Products",3.1509,1
"Tokio Marine Holdings Inc","Property & Casualty Insurance",3.1072,1
"EQ - MAX HEALTHCARE INSTITUTE LTD","Healthcare Services",3.1041,1
"ABBVIE INC","Biotechnology",3.0971,1
"Mastercard Incorporated","Transaction & Payment Processing Services",3.0846,1
"Ajinomoto Co Inc","Packaged Foods & Meats",3.0839,1
"EQ - ACC LTD","Cement & Cement Products",3.0615,1
"International Gemological Institute Limited","Commercial Services & Supplies",3.049,1
"EQ - CAPLIN POINT LABORATORIES LTD","Pharmaceuticals & Biotechnology",3.0486,1
"Dai-ichi Life Holdings Inc","Life & Health Insurance",3.0179,1
"Elevance Health Inc","Managed Health Care",3.0076,1
"Cyient Ltd.","It - Services",3.0016,1
"LandMark Optoelectronics Corporation","Semiconductor Materials & Equipment",3.0015,1
"MITSUBISHI HEAVY ORD","Industrial Machinery & Supplies & Components",2.9975,1
"SMC Corp","Industrial Machinery & Supplies & Components",2.9946,1
"Secom Co Ltd","Security & Alarm Services",2.9908,1
"Simplex Infrastructures Limited","Construction",2.9806,1
"J.Kumar Infraprojects Ltd.","Construction",2.9519,1
"Adani Ports & Special Economic Zone","Transport Infrastructure",2.9469,1
"Mangalam Cement Limited","Cement & Cement Products",2.9455,1
"Tesla Inc","Automobile Manufacturers",2.931,1
"Orix Corporation","Diversified Financial Services",2.9274,1
"EQ - BLUE STAR LIMITED","Consumer Durables",2.9273,1
"GANESHA ECOSPHERE LTD","Textiles & Apparels",2.9002,1
"EQ - ASTRAL LTD.","Industrial Products",2.894,1
"EQ - VEDANTA ALUMINIUM METAL LTD.","Non - Ferrous Metals",2.8852,1
"The Walt Disney Company","Movies & Entertainment",2.8754,1
"EQ - IPCA LABORATORIES LTD.","Pharmaceuticals & Biotechnology",2.8733,1
"IOL Chemicals and Pharmaceuticals Ltd.","Pharmaceuticals & Biotechnology",2.8686,1
"Pace Digitek Ltd.","Telecom - Services",2.8604,1
"Berger Paints (I) Limited","Consumer Durables",2.8521,1
"Pan Pacific International Holdings Corporation","Broadline Retail",2.8421,1
"EQ - ADANI ENERGY SOLUTIONS LTD","Power",2.8324,1
"NLC India Ltd. (Neyveli Lignite Corporation Ltd.)","Power",2.8272,1
"Electronics Mart India Ltd","Retailing",2.8256,1
"EQ - NEWGEN SOFTWARE TECHNOLOGIES LTD","It - Software",2.8184,1
"SKY Gold & Diamonds Ltd.","Consumer Durables",2.8037,1
"Exeo Group Inc","Construction & Engineering",2.8022,1
"NBCC (India) Ltd.","Construction",2.8019,1
"Kovai Medical Center And Hospital Limited","Healthcare Services",2.8005,1
"EQ - NATIONAL ALUMINIUM CO. LTD.","Non - Ferrous Metals",2.7933,1
"EQ - CLEAN SCIENCE & TECHNOLOGY LTD","Chemicals & Petrochemicals",2.7774,1
"Bajaj Holdings and Investment Ltd","Finance",2.7753,1
"Ceigall India Ltd.","Construction",2.7706,1
"Starbucks ORD","Restaurants",2.7693,1
"RAILTEL CORPORATION OF INDIA LIMITED","Telecom - Services",2.7376,1
"GRAVITA INDIA LIMITED","Minerals & Mining",2.7343,1
"ORCHID PHARMA LIMITED","Pharmaceuticals & Biotechnology",2.7249,1
"CELLO WORLD LTD","Consumer Durables",2.7218,1
"EQ - REDINGTON LTD","Commercial Services & Supplies",2.7117,1
"Facebook Inc","Interactive Media & Services",2.7027,1
"Eureka Forbes Ltd.","Consumer Durables",2.6966,1
"Uniparts India Ltd","Auto Components",2.6949,1
"Force Motors Ltd","Automobiles",2.6928,1
"Chennai Petroleum Corporation Ltd.","Petroleum Products",2.6925,1
