instrument_name,industry,total_percentage,fund_count
"National Aluminium Company Ltd.","Non - Ferrous Metals",94.3584,34
"Max Financial Services Ltd.","Insurance",93.9755,36
"Adani Ports and Special Economic Zone Ltd.","Transport Infrastructure",93.1235,28
"The Phoenix Mills Ltd.","Realty",91.7344,17
"ABB India Ltd.","Electrical Equipment",90.8266,31
"EQ - KOTAK MAHINDRA BANK LTD.","Banks",90.4808,18
"Welspun Corp Limited","Industrial Products",88.3592,27
"Wipro Ltd.","It - Software",87.5399,26
"Vedanta Ltd.","Diversified Metals",86.4153,23
"KEI Industries Ltd.","Industrial Products",84.6615,32
"PNB Housing Finance Limited","Finance",84.329,30
"Union Bank of India","Banks",83.1368,21
"The Indian Hotels Company Limited","Leisure Services",82.5936,28
"LG Electronics India Ltd","Consumer Durables",82.1101,22
"Tata Power Company Ltd.","Power",81.6875,27
"Indian Oil Corporation Ltd.","Petroleum Products",81.329,31
"Federal Bank Ltd","Banks",80.7535,23
"EQ - INFOSYS LTD.","It - Software",80.5265,16
"IPCA Laboratories Ltd.","Pharmaceuticals & Biotechnology",80.463,24
"Ashok Leyland Limited","Agricultural, Commercial & Construction Vehicles",78.4617,26
"Gland Pharma Ltd.","Pharmaceuticals & Biotechnology",78.0815,27
"Bank of Maharashtra","Banks",77.5734,25
"Nippon Life India Asset Management Limited","Capital Markets",77.0621,26
"EQ - AXIS BANK LTD.","Banks",76.468,14
"Indian Bank","Banks",76.3773,22
"EQ - BHARTI AIRTEL LTD.","Telecom - Services",76.1003,18
"Aditya Infotech Ltd.","Industrial Manufacturing",75.516,23
"Mphasis Limited","It - Software",74.6623,22
"GAIL (India) Ltd.","Gas",74.4115,21
"EQ - RELIANCE INDUSTRIES LTD.","Petroleum Products",74.2104,16
"Godrej Properties Ltd.","Realty",73.0998,14
"EQ - STATE BANK OF INDIA","Banks",72.6345,17
"Zydus Lifesciences Limited","Pharmaceuticals & Biotechnology",71.4483,23
"MTAR technologies Ltd.","Electrical Equipment",70.5376,19
"Mankind Pharma Ltd.","Pharmaceuticals & Biotechnology",70.4264,23
"Kirloskar Oil Engines Limited","Industrial Products",70.0051,26
"Punjab National Bank","Banks",69.7516,17
"Vedanta Aluminium Metal Limited","Non - Ferrous Metals",68.4731,23
"Indo-MIM Limited","Industrial Manufacturing",68.4347,22
"HFCL Limited","Telecom - Services",67.8723,16
"L&T Finance Ltd.","Finance",67.8428,25
"Aster DM Quality Care Ltd.","Healthcare Services",67.5096,23
"Neuland Laboratories Ltd.","Pharmaceuticals & Biotechnology",67.3805,22
"Tata Consumer Products Ltd.","Agricultural Food & Other Products",67.2932,24
"Indian Hotels Co Ltd","Leisure Services",66.7488,11
"Muthoot Finance Limited","Finance",66.5485,23
"Ujjivan Small Finance Bank Ltd.","Banks",66.536,23
"United Spirits Ltd.","Beverages",65.6279,22
"TD Power Systems Ltd.","Electrical Equipment",64.3182,23
"RBL Bank Ltd.","Banks",64.1896,24
"ICICI Prudential AMC Ltd","Capital Markets",63.8734,12
"Aditya Birla Capital Ltd.","Finance",63.6982,22
"UNO Minda Ltd.","Auto Components",63.3527,24
"Meesho Ltd.","Retailing",63.2317,22
"Hyundai Motor India Ltd","Automobiles",62.775,21
"LTM Ltd.","It - Software",62.7327,20
"Delhivery Ltd.","Transport Services",61.8796,22
"Steel Authority of India Limited","Ferrous Metals",61.6468,22
"Oberoi Realty Limited","Realty",61.2188,14
"Acutaas Chemicals Limited","Pharmaceuticals & Biotechnology",61.0285,22
"Lodha Developers Limited","Realty",60.4808,7
"Anand Rathi Wealth Limited","Capital Markets",60.3046,19
"Premier Energies Limited","Electrical Equipment",60.0379,15
"Biocon Ltd.","Pharmaceuticals & Biotechnology",59.1722,20
"City Union Bank Ltd.","Banks",57.2585,21
"EQ - ETERNAL LIMITED","Retailing",57.1791,11
"Sansera Engineering Ltd.","Auto Components",55.9431,19
"EQ - MAHINDRA & MAHINDRA LTD.","Automobiles",55.6643,13
"Sterlite Technologies Limited","Telecom - Equipment & Accessories",54.5954,17
"APL Apollo Tubes Limited","Industrial Products",54.5177,20
"Alkem Laboratories Limited","Pharmaceuticals & Biotechnology",54.4126,18
"Kalpataru Projects International Ltd.","Construction",54.0422,17
"Dr. Lal Path labs Ltd.","Healthcare Services",53.9386,20
"Hindustan Zinc Limited","Non - Ferrous Metals",53.9049,17
"Suzlon Energy Ltd.","Electrical Equipment",53.8658,15
"Kalyan Jewellers India Ltd","Consumer Durables",53.6918,14
"Jindal Steel Ltd.","Ferrous Metals",53.4442,16
"Yes Bank Limited","Banks",51.8629,17
"Billionbrains Garage Ventures Ltd","Capital Markets",51.3941,19
"Power Finance Corporation Limited","Finance",51.1579,18
"Computer Age Management Services Ltd.","Capital Markets",49.7566,18
"MULTI COMMODITY EXCHANGE OF IND LTD","Capital Markets",49.7456,10
"Amber Enterprises India Ltd.","Consumer Durables",49.7094,19
"Craftsman Automation Ltd.","Auto Components",49.5614,17
"Garware Hi-Tech Films Ltd","Industrial Products",49.5089,14
"GlaxoSmithKline Pharmaceuticals Limited","Pharmaceuticals & Biotechnology",49.1314,15
"Container Corporation of India Limited","Transport Services",48.9623,8
"Hindustan Petroleum Corporation Ltd.","Petroleum Products",48.4376,15
"Petronet LNG Limited","Gas",48.2281,15
"GMR Airports Ltd.","Transport Infrastructure",46.8775,8
"NMDC Limited","Minerals & Mining",46.2683,15
"360 One WAM Limited","Capital Markets",45.8886,16
"EQ - TATA CONSULTANCY SERVICES LTD.","It - Software",45.8394,9
"EQ - MARUTI SUZUKI INDIA LTD.","Automobiles",45.5488,12
"Redington Limited","Commercial Services & Supplies",45.3519,12
"Eternal Ltd (Previously Zomato Ltd)","Retailing",45.229,12
"Jubilant Foodworks Ltd.","Leisure Services",44.0556,11
"Gabriel India Ltd.","Auto Components",43.6722,14
"Ambuja Cements Ltd.","Cement & Cement Products",43.5264,14
"Zydus Wellness Limited","Food Products",43.494,11
"Ajanta Pharma Ltd.","Pharmaceuticals & Biotechnology",43.461,16
"Lloyds Metals And Energy Limited","Minerals & Mining",42.7286,7
"S.J.S. Enterprises Ltd.","Auto Components",42.5934,15
"Rubicon Research Limited","Pharmaceuticals & Biotechnology",42.3868,11
"Avalon Technologies Ltd.","Electrical Equipment",41.9314,12
"Global Health Limited","Healthcare Services",41.5926,15
"EQ - LARSEN & TOUBRO LTD.","Construction",41.2474,10
"Hexaware Technologies Ltd.","It - Software",41.0678,10
"Capri Global Capital Limited","Finance",40.729,7
"HDFC Life Insurance Company Limited","Insurance",39.328,14
"Siemens Limited","Electrical Equipment",39.2598,14
"Cholamandalam Investment & Finance Co. Ltd.","Finance",39.1586,14
"JSW Energy Ltd.","Power",38.657,13
"EQ - BAJAJ FINANCE LTD.","Finance",38.0154,11
"SBI Life Insurance Co. Ltd.","Insurance",37.7222,13
"Abbott India Ltd.","Pharmaceuticals & Biotechnology",37.4401,13
"Inter Globe Aviation Ltd","Transport Services",36.3462,6
"Bajaj Holdings & Investment Limited","Finance",36.1299,9
"Microsoft Corporation","Systems Software",35.9668,9
"JSW Infrastructure Limited","Transport Infrastructure",35.4265,12
"Schaeffler India Ltd.","Auto Components",35.0939,14
"Page Industries Limited","Textiles & Apparels",35.0817,14
"Oil India Limited","Oil",35.0005,12
"Sedemac Mechatronics Ltd.","Auto Components",34.7975,12
"EQ - FEDERAL BANK LTD.","Banks",34.2015,9
"Linde India Limited","Chemicals & Petrochemicals",34.0261,12
"Krishna Institute Of Medical Sciences Limited","Healthcare Services",34.0124,13
"Central Depository Services (India) Limited","Capital Markets",33.2992,10
"Vishal Mega Mart Limited","Retailing",32.4901,12
"ZF Commercial Vehicle Control Systems India Limited","Auto Components",32.4106,12
"Diamond Power Infrastructure Ltd.","Electrical Equipment",32.1055,8
"Bharti Hexacom Ltd.","Telecom - Services",32.1002,12
"Quality Power Electrical Eqp Ltd","Electrical Equipment",32.0962,11
"Firstsource Solutions Ltd.","Commercial Services & Supplies",31.9086,9
"Brigade Enterprises Ltd.","Realty",31.7655,9
"K.P.R. Mill Limited","Textiles & Apparels",31.5232,13
"Mazagon Dock Shipbuilders Ltd.","Industrial Manufacturing",31.5181,9
"Angel One Ltd.","Capital Markets",31.2423,11
"Shaily Engineering Plastics Ltd.","Consumer Durables",30.9651,11
"Manipal Health Enterprises Limited","Healthcare Services",30.8704,9
"ASTER DM HEALTHCARE LTD","Healthcare Services",30.7232,11
"EQ - NESTLE INDIA LTD.","Food Products",30.6528,8
"ICICI Prudential Asset Management Company Limited","Capital Markets",30.5007,9
"REC Limited","Finance",30.342,12
"eClerx Services Limited","Commercial Services & Supplies",30.0855,10
"EQ - TITAN COMPANY LTD.","Consumer Durables",29.51,8
"Alphabet Inc.","It - Software",28.9624,7
"Bharat Dynamics Ltd.","Aerospace & Defense",28.7268,10
"Syrma SGS Technology Ltd","Industrial Manufacturing",28.7014,10
"Colgate Palmolive (India) Ltd.","Personal Products",28.6555,9
"Anthem Biosciences Limited","Pharmaceuticals & Biotechnology",28.5134,11
"EQ - SUN PHARMACEUTICALS INDUSTRIES","Pharmaceuticals & Biotechnology",28.0764,7
"EQ - COFORGE LTD","It - Software",27.9793,8
"Jio Financial Services Limited","Finance",27.8197,10
"R R Kabel Ltd.","Industrial Products",27.7039,9
"Manappuram Finance Ltd.","Finance",27.4544,10
"Shadowfax Technologies Ltd.","Transport Services",27.4148,9
"Sigma Advanced Systems Limited","Aerospace & Defense",27.1541,5
"Shree Cement Limited","Cement & Cement Products",26.7916,9
"TENNECO CLEAN AIR INDIA LIMITED","Auto Components",26.7178,10
